Column1;Column2;Column3;Column4;Column5;Column6;Column7; Column8 ;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column20;Column21;Column22;Column23;Column24;Column25;Column26;Column27;Column28;Column29;Column30;Column31
continent;sub contient;country;Predom. Religion;SOGI-LI;DEMOC.;HAPPINESS; Per capita GDP ;% with tertiary educ.;GRI;Religiosity;SHI;legality of sam-sex sexual-activity;marriage/ civil unions;same-sex coupleadoptions;serving in the military;antidiscrimination laws; gender ID markers;Democracy Status;electoral process and pluralism;funct. Of gov;polit. Particpation;political culture;civil liberties;Satisfaction with GDP per capita;Social support;Healthy life expectancy;Freedom to make life choices;Generosity;Perceptions of corruption
africa;6. S.Africa;South Africa;C;7,67;7,24;4,724;$6.339,57 ;0,32;0,9;85%;2,8;1;1;1;0,5;0,6;0,5;F;7,42;7,5;8,33;4,38;3,53;1,474;1,301;0,675;0,554;0,167;0,106
africa;2. Horn Africa;Somalia;M;0,56;;4,982;$498,66 ;;4,4;100%;7,1;0;0,33;0;0;0;0;;;;;5,63;2,06;0,682;1,174;0,429;0,58;0,598;0,178
oceana;melanesia;Solomon Islands;x;1,39;;;$2.162,65 ;;1;;2,1;0,5;0,33;0;0;0;0;;;;;4,38;4,12;;;;;;
europe;19. C. Europe;Slovenia;C;7,22;7,5;5,948;$26.234,02 ;13,25;2,6;47%;0,2;1;0,33;1;0,5;1;0,5;F;9,58;6,79;6,67;5;0,88;0,719;1,584;0,605;0,724;0,328;0,259
europe;19. C. Europe;Slovakia;C;4,33;7,1;6,173;$19.546,90 ;8,76;3;47%;2,7;1;0;0;0,5;0,6;0,5;F;9,58;6,79;5,56;5;0,59;1,016;1,533;0,517;0,417;0,199;0,037
asia;10. SE. Asia;Singapore;N;2,64;6,38;6,343;$64.581,94 ;29,71;7,1;70%;1,9;0,5;0,33;0;0,25;0;0,5;F;4,33;7,86;6,11;;;;;;;;
africa;4. W.Africa;Sierra Leone;M;0,97;;4,571;$522,86 ;1,22;3,4;;2,6;0,25;0,33;0;0;0;0;;;;;5,63;7,65;;;;;;
asia;Ind. Ocea;Seychelles;C;2,56;4,66;;$16.433,94 ;;2,6;;0;1;0,33;0;0;0,2;0;H;6,58;1,86;3,33;5;7,35;;;;;;
europe;18. S. Europe;Serbia;C;6,33;6,41;5,398;$7.234,00 ;8,97;4,2;;1,1;1;0;0,5;0,5;0,8;1;F;8,25;5,36;6,11;6,25;6,18;0,592;0,896;0,337;0,499;0,212;0,029
africa;4. W.Africa;Senegal;M;0,97;6,15;4,631;$1.521,95 ;1,25;1,2;98%;1;0,25;0,33;0;0;0;0;F;7,5;6,07;4,44;;;;;;;;
asia;8. W. Asia;Saudi Arabia;M;0,56;1,93;6,371;$23.219,13 ;6,67;7,8;;4,7;0;0,33;0;0;0;0;A;0;2,86;2,22;8,75;9,41;0,557;1,245;0,292;0,129;0,134;0,093
africa;5. C.Africa;São Tomé and Príncipe;C;2,22;;;$2.001,14 ;;0,5;54%;0;1;0,33;0;0;0;0;;;;;5;3,82;0,979;1,154;0,687;0,077;0,055;0,135
europe;18. S. Europe;San Marino;C;4,72;;;;;0,6;96%;0;1;0,33;0;0,5;1;0;;;;;5;7,06;;;;;;
oceana;polyneisa;Samoa;C;2,56;;;$4.392,47 ;;1,3;93%;2,8;0,5;0,33;0;0;0,2;0,5;;;;;;;;;;;;
